region,category,parameter,mode,powertrain,year,unit,value
Belgium,Historical,EV sales,Trucks,BEV,2011,sales,1
Belgium,Historical,EV sales,Trucks,BEV,2014,sales,1
Belgium,Historical,EV sales,Trucks,BEV,2016,sales,1
Belgium,Historical,EV sales,Trucks,BEV,2018,sales,1
Belgium,Historical,EV sales,Trucks,BEV,2020,sales,3
Belgium,Historical,EV sales,Trucks,BEV,2021,sales,3
Canada,Historical,EV sales,Trucks,BEV,2020,sales,7
China,Historical,EV sales,Trucks,BEV,2010,sales,4.900000095367432
China,Historical,EV sales,Trucks,BEV,2011,sales,14
China,Historical,EV sales,Trucks,BEV,2012,sales,51
China,Historical,EV sales,Trucks,BEV,2013,sales,310
China,Historical,EV sales,Trucks,BEV,2014,sales,130
China,Historical,EV sales,Trucks,BEV,2015,sales,5800
China,Historical,EV sales,Trucks,BEV,2016,sales,4500
China,Historical,EV sales,Trucks,PHEV,2016,sales,5.099999904632568
China,Historical,EV sales,Trucks,PHEV,2017,sales,14000
China,Historical,EV sales,Trucks,BEV,2017,sales,4500
China,Historical,EV sales,Trucks,BEV,2018,sales,35000
China,Historical,EV sales,Trucks,PHEV,2018,sales,3600
China,Historical,EV sales,Trucks,PHEV,2019,sales,2400
China,Historical,EV sales,Trucks,BEV,2019,sales,16000
China,Historical,EV sales,Trucks,BEV,2020,sales,4500
China,Historical,EV sales,Trucks,PHEV,2020,sales,420
China,Historical,EV sales,Trucks,PHEV,2021,sales,1000
China,Historical,EV sales,Trucks,BEV,2021,sales,12000
Denmark,Historical,EV sales,Trucks,BEV,2010,sales,4
Denmark,Historical,EV sales,Trucks,BEV,2011,sales,1
Denmark,Historical,EV sales,Trucks,BEV,2013,sales,1
Denmark,Historical,EV sales,Trucks,BEV,2016,sales,1
Denmark,Historical,EV sales,Trucks,BEV,2017,sales,1
Denmark,Historical,EV sales,Trucks,BEV,2018,sales,3
Denmark,Historical,EV sales,Trucks,BEV,2019,sales,2
Denmark,Historical,EV sales,Trucks,BEV,2020,sales,15
Denmark,Historical,EV sales,Trucks,BEV,2021,sales,27
Finland,Historical,EV sales,Trucks,BEV,2017,sales,2
Finland,Historical,EV sales,Trucks,BEV,2019,sales,2
Finland,Historical,EV sales,Trucks,BEV,2020,sales,5
Finland,Historical,EV sales,Trucks,BEV,2021,sales,2
France,Historical,EV sales,Trucks,BEV,2017,sales,1
France,Historical,EV sales,Trucks,BEV,2018,sales,5
France,Historical,EV sales,Trucks,BEV,2019,sales,16
France,Historical,EV sales,Trucks,BEV,2020,sales,6
France,Historical,EV sales,Trucks,BEV,2021,sales,70
France,Historical,EV sales,Trucks,PHEV,2021,sales,10
Germany,Historical,EV sales,Trucks,BEV,2016,sales,11
Germany,Historical,EV sales,Trucks,BEV,2018,sales,3
Germany,Historical,EV sales,Trucks,BEV,2019,sales,240
Germany,Historical,EV sales,Trucks,BEV,2020,sales,300
Germany,Historical,EV sales,Trucks,BEV,2021,sales,92
Iceland,Historical,EV sales,Trucks,BEV,2012,sales,1
Iceland,Historical,EV sales,Trucks,BEV,2021,sales,1
Italy,Historical,EV sales,Trucks,BEV,2016,sales,1
Italy,Historical,EV sales,Trucks,BEV,2017,sales,7
Italy,Historical,EV sales,Trucks,BEV,2019,sales,4
Italy,Historical,EV sales,Trucks,BEV,2020,sales,11
Italy,Historical,EV sales,Trucks,BEV,2021,sales,8
Netherlands,Historical,EV sales,Trucks,BEV,2010,sales,3
Netherlands,Historical,EV sales,Trucks,BEV,2011,sales,7
Netherlands,Historical,EV sales,Trucks,BEV,2012,sales,3
Netherlands,Historical,EV sales,Trucks,BEV,2013,sales,16
Netherlands,Historical,EV sales,Trucks,BEV,2014,sales,7
Netherlands,Historical,EV sales,Trucks,BEV,2015,sales,4
Netherlands,Historical,EV sales,Trucks,BEV,2018,sales,28
Netherlands,Historical,EV sales,Trucks,BEV,2019,sales,77
Netherlands,Historical,EV sales,Trucks,BEV,2020,sales,39
Netherlands,Historical,EV sales,Trucks,BEV,2021,sales,63
Netherlands,Historical,EV sales,Trucks,PHEV,2021,sales,2
New Zealand,Historical,EV sales,Trucks,BEV,2019,sales,34
New Zealand,Historical,EV sales,Trucks,BEV,2020,sales,24
New Zealand,Historical,EV sales,Trucks,BEV,2021,sales,41
Norway,Historical,EV sales,Trucks,BEV,2017,sales,2
Norway,Historical,EV sales,Trucks,BEV,2020,sales,23
Norway,Historical,EV sales,Trucks,PHEV,2020,sales,1
Norway,Historical,EV sales,Trucks,BEV,2021,sales,64
Other Europe,Historical,EV sales,Trucks,BEV,2014,sales,5
Other Europe,Historical,EV sales,Trucks,BEV,2016,sales,8
Other Europe,Historical,EV sales,Trucks,BEV,2018,sales,10
Other Europe,Historical,EV sales,Trucks,BEV,2019,sales,4
Other Europe,Historical,EV sales,Trucks,BEV,2020,sales,4
Other Europe,Historical,EV sales,Trucks,BEV,2021,sales,11
Poland,Historical,EV sales,Trucks,BEV,2013,sales,1
Poland,Historical,EV sales,Trucks,BEV,2016,sales,1
Poland,Historical,EV sales,Trucks,BEV,2019,sales,4
Poland,Historical,EV sales,Trucks,BEV,2021,sales,5
Spain,Historical,EV sales,Trucks,BEV,2016,sales,13
Spain,Historical,EV sales,Trucks,BEV,2017,sales,2
Spain,Historical,EV sales,Trucks,BEV,2019,sales,5
Spain,Historical,EV sales,Trucks,BEV,2020,sales,8
Spain,Historical,EV sales,Trucks,BEV,2021,sales,16
Sweden,Historical,EV sales,Trucks,BEV,2020,sales,18
Sweden,Historical,EV sales,Trucks,BEV,2021,sales,6
Switzerland,Historical,EV sales,Trucks,BEV,2019,sales,16
Switzerland,Historical,EV sales,Trucks,BEV,2020,sales,7
Switzerland,Historical,EV sales,Trucks,BEV,2021,sales,34
United Kingdom,Historical,EV sales,Trucks,BEV,2010,sales,9
United Kingdom,Historical,EV sales,Trucks,BEV,2011,sales,5
United Kingdom,Historical,EV sales,Trucks,BEV,2012,sales,8
United Kingdom,Historical,EV sales,Trucks,BEV,2014,sales,6
United Kingdom,Historical,EV sales,Trucks,BEV,2015,sales,3
United Kingdom,Historical,EV sales,Trucks,BEV,2016,sales,9
United Kingdom,Historical,EV sales,Trucks,BEV,2019,sales,10
United Kingdom,Historical,EV sales,Trucks,BEV,2020,sales,4
United Kingdom,Historical,EV sales,Trucks,BEV,2021,sales,87
United Kingdom,Historical,EV sales,Trucks,PHEV,2021,sales,150
World,Historical,EV sales,Trucks,BEV,2010,sales,21
World,Historical,EV sales,Trucks,BEV,2011,sales,200
World,Historical,EV sales,Trucks,BEV,2012,sales,69
World,Historical,EV sales,Trucks,BEV,2013,sales,340
World,Historical,EV sales,Trucks,BEV,2014,sales,150
World,Historical,EV sales,Trucks,BEV,2015,sales,5800
World,Historical,EV sales,Trucks,BEV,2016,sales,4600
World,Historical,EV sales,Trucks,PHEV,2016,sales,5.099999904632568
World,Historical,EV sales,Trucks,BEV,2017,sales,4500
World,Historical,EV sales,Trucks,PHEV,2017,sales,14000
World,Historical,EV sales,Trucks,BEV,2018,sales,35000
World,Historical,EV sales,Trucks,PHEV,2018,sales,3600
World,Historical,EV sales,Trucks,BEV,2019,sales,17000
World,Historical,EV sales,Trucks,PHEV,2019,sales,2400
World,Historical,EV sales,Trucks,BEV,2020,sales,5300
World,Historical,EV sales,Trucks,PHEV,2020,sales,420
World,Historical,EV sales,Trucks,BEV,2021,sales,13000
World,Historical,EV sales,Trucks,PHEV,2021,sales,1200
